Substance(s) active(s),P.Comm,Société,Fabricant
Tribenuron-Methyl,SKYLLA WDG,AGRONOMIC LAND,ROTAM AGROCHEMICAL CO.LTD
Tribenuron-Methyl,Nuance,AGROSYSTEMES,CHEMINOVA
ACIBENZOLAR-S-METHYL,BION 50 WG,AGRIPROTEC,SYNGENTA
Chlormequat-chlorure,Stabilan750,AGRIPROTEC,NUFARM
Acide gibberellique,b 40 SG,BIOPROTECTION,VALENTBioscience / SUMITOMO
Acide gibberellique,Fitogib,BIOPROTECTION,NUFARM
Acide gibberellique,GIB GRO,BIOPROTECTION,NUFARM
Chlormequat-chlorure,Cekwat 750,BIOPROTECTION,NUFARM
Cyanamide d’hydrogène,Dormex,BIOPROTECTION,DEGUSSA AG/
"Trimethylamine HCl +1,4-diaminobutane (Putrescine) +DDVP",MERCERATITE KEY,Ets MEZGHANI,Key
Acide gibberellique,Giberkey,ETS MEZGHANNI,Industrial Quimica Key
Métaldéhyde,Metakey,ETS.MEZGHANI,INDUS QUIMICAKEY
Polyoxyethylene amine,PHYDEAL SL,FERTIPLANT,SDP/France
"Deltametrine+Acetate d’ammonium+Trimethylamine HCl+1,4diaminobutane (=Putrescine)",Magnet Med,NUTRIPLANT,KOPPERT
"(E,Z,Z)-3,8,11Tetradecatrien 1-y acetate (E,Z)-3,8Tetradecatrien1- y acetate",PHERODIS Tuta absoluta,NUTRIPLANT,KOPPERT
Chloroprophame,Neostop 500 HN,PROTAGRI,AGRIPHAR
Métaldéhyde,Metapro,PROTAGRI,United Phosphorus
Métaldéhyde,GHLALA,SANABEL AGRO,UPL
Acide Beta indolbutirique,Exuberone,SEPCM,Non spécifié
Dérivvés d'acides gras végétaux + Huile de pin,ACTILANDE TM EC,SEPCM,Action PIN
Polyether modified trisiloxane + polyether,BREAK THRU SL,ATLAS AGRICOLE,EVONIC
Ethoprophos,Mocap,SEPCM,AMVAC Chemical Corporation)
Abamectine,TERVIGO 020 SC,BIOPROTECTION,Syngenta Crop Protection AG
Garlic extract,NEM guard SC,STIMA,Ecospray limited
Cyantraniliprole,Benevia,AGRIMATCO,DU PONT
Cyperméthrine,Cypercal 250 EC,BIOPROTECTION,ARYSTA LIFESCIENCE
Emamectin benzoate,Proclaim 05 SG,BIOPROTECTION,SYNGENTA
