Produit_Commercial,Société,Fabricant
Protagibb,PROTAGRI,United Phosphorus
Pulsar,PROTAGRI,United Phosphous Ltd
Quickphlo-R,PROTAGRI,UNITED PHOSPHORUS LTD
Quickphlo-R,PROTAGRI,GOWAN Espagne
Quickphos,PROTAGRI,UNITED PHOSPHORUS LTD
Renova,PROTAGRI,United Phosphorus Ltd
SUCCESS SC,PROTAGRI,NANJING
SUCCESS SC,PROTAGRI,AGROHEMICAL CHINE
Syllit 400 SC,PROTAGRI,AGRIPHAR
Syllit 400 SC,PROTAGRI,ARYSTA Life Science Benelux Belgique UPL
Syllit 400 SC,PROTAGRI,ARYSTA Life Science Benelux
TITONIC SC,PROTAGRI,NANJING AGROCHEMICA L
Thiomil,PROTAGRI,MEGHMANI INDUSTRIES
Unilax,PROTAGRI,I.Q.V AGRO UNITED PHOSPHORUS NUFARM IQV DEL VALLES
Unilax,PROTAGRI,UNITED PHOSPHORUS
BRAI EC,RA2YEN PHYTAGRI,LAINCO SA
BRAI EC,RAYEN,LAINCO SA
CADDY SC,RAYEN,BARCLAY CHEMICALS Ltd
CU MAX,RAYEN,DIACHEM S.P.A
D EXTRA 100 EC,RAYEN,TRAGOS CHEMICOLS
DEXTRA 100 EC,RAYEN,TRAGOS CHEMICOLS
DIASTAR MAXI GR,RAYEN,DIACHEM
Dextra 25 EC,RAYEN,TAGROS CHEMICALS
EQUALIZER WG,RAYEN,"Shengnong Pesticide, Co. Ltd"
FESTIVAL WP,RAYEN,"LAINCO, S, A"
Flutri 125 SC,RAYEN,SHARDA
Flutri 125 SC,RAYEN,SHARDA CROPCHEM
GALLUP HI-,RAYEN,Barclay
GALLUP HI-AKTIV SL,RAYEN,Barclay chemicals(R&D) Ltd.
GENERAL SC,RAYEN,PARIJAT INDUSTR.
KING DOXA 15 SC,RAYEN,GHARDA HOUSE
L AITANE SC,RAYEN,"LAINCO ,S,A"
LAITANE SC,RAYEN,"LAINCO ,S,A"
LIMOCIDE,RAYEN,VIVAGRO
Orotun,RAYEN,ORO AGRI
P ILARTEP SC,RAYEN,PILARQUIIM (jiangsu) CO.LTD CHINE
PILARTEP SC,RAYEN,PILARQUIIM (jiangsu) CO.LTD CHINE
S UGOBY WG,RAYEN,"LAINCO ,S,A"
SHOSHI 25 SC,RAYEN,LAINCO-Espagne
SUGOBY WG,RAYEN,"LAINCO ,S,A"
AVOCA,RAYEN AGRICOLE,Barclay chemicals(R&D) Ltd.
AVOCA,RAYEN PHYTAGRI,Barclay chemoicals Ltd
BRAI EC,RAYEN PHYTAGRI,LAINCO SA
CADDY SC,RAYEN PHYTAGRI,BARCLAY CHEMICALS Ltd
CAMARO COMBI SC,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
CLUSTER,RAYEN PHYTAGRI,DIACHEM S.P.A
CU MAX,RAYEN PHYTAGRI,DIACHEM S.P.A
Camaro430SC,RAYEN PHYTAGRI,SHARDA
Cayen 500 WG,RAYEN PHYTAGRI,SHARDA
DENIM,RAYEN PHYTAGRI,Sharda cropchem
Dextra 25 EC,RAYEN PHYTAGRI,TAGROS CHEMICALS
Flutri 125 SC,RAYEN PHYTAGRI,SHARDA
GALLUP HI-AKTIV,RAYEN PHYTAGRI,Barclay chemoicals(R&D) Ltd.
GENERAL SC,RAYEN PHYTAGRI,PARIJAT INDUSTR.
KATALON,RAYEN PHYTAGRI,INDOFIL
LIMOCIDE ULTRA ME,RAYEN PHYTAGRI,VIVAGRO
MANCOFLASH,RAYEN PHYTAGRI,INDOFIL
MASTOR WG,RAYEN PHYTAGRI,BASF
MASTORWG,RAYEN PHYTAGRI,BASF
MAXIMUS 80WP,RAYEN PHYTAGRI,INDOFIL
Orotun,RAYEN PHYTAGRI,ORO AGRI
RETENGO PLUS EC,RAYEN PHYTAGRI,BASF
Round up innov,RAYEN PHYTAGRI,MONSANTO
changement de,RAYEN PHYTAGRI,"LAINCO, S, A ESPAGNE"
nom,RAYEN PHYTAGRI,"LAINCO, S, A ESPAGNE"
MASTOR WG,RAYENPHYTAGRI,BASF
MYCLONE 24 EC,RAYENPHYTAGRI,Sharda Cropchem
MYCLONE 24 EC,RAYENPHYTAGRI,SHARDA CROPCHEM LIMITED INDE
240SC,SANABEL AGRO,AAKO
ACETADE FORT,SANABEL AGRO,SHARDA CROPCHEM
ACETADE FORT,SANABEL AGRO,LIMITED INDE
ASTRONE,SANABEL AGRO,SHARDA CROPCHEM
AVANTAGE CT,SANABEL AGRO,ROTAM AGROCHEMICALS
AVANTAGE CT,SANABEL AGRO,ROTAM
AVANTAGE CT,SANABEL AGRO,AGROCHEMIC ALS
Altitud Gold,SANABEL AGRO,AAKO
Altitud Gold 240SC,SANABEL AGRO,ROTAM AGROCHEMICALS r ivale
Asset,SANABEL AGRO,AGRIGUARD SA
Atrium,SANABEL AGRO,ROTAM AGROCHEMICALS
Atrium,SANABEL AGRO,TAGROS CHEMICALS
CHLORAMAX,SANABEL AGRO,SINON CORPORATION
CIGAL PLUS SC,SANABEL AGRO,Rotam Agrochemical Co.Ltd
CIGAL PLUS SC,SANABEL AGRO,RotamAgrochemi
CIGAL PLUS SC,SANABEL AGRO,calCo.Ltd
COSTA SC,SANABEL AGRO,SHARDA CROPCHEM limited
COSTA SC,SANABEL AGRO,SHARDA CROPCHEM
COSTA SC,SANABEL AGRO,LIMITED INDE
CYCLONE,SANABEL AGRO,SHARDA CROPCHEM
CYCLONE,SANABEL AGRO,SYNGENTA
Charter,SANABEL AGRO,SINON CORPORATION
Clenofen 240,SANABEL AGRO,ZHEJIANG E-TONG CHEMICAL CO LTD
Clenofen 240,SANABEL AGRO,umittimo
Clenofen 240,SANABEL AGRO,BELCHIM CROP PROTECTION CE RITIS BELCHIM NV
Cuperval WG,SANABEL AGRO,I.Q.V. DELVALLES
DOUBLE FORCE,SANABEL AGRO,SHARDA
DOUBLE FORCE,SANABEL AGRO,|
Delmitox,SANABEL AGRO,SHARDA CROPCHEM
Delmitox,SANABEL AGRO,TAGROS CHEMICALS
Diflanil,SANABEL AGRO,GLOBACHEM
Expert,SANABEL AGRO,SHARDA WORLDWIDE
Expert,SANABEL AGRO,GLOBACHEM
Expert,SANABEL AGRO,United Phosphous Ltd
FLOUKAN SC,SANABEL AGRO,sharda cropchem
FLOUKAN SC,SANABEL AGRO,LIMITED INDE
Festival 250 EC,SANABEL AGRO,Sharda World Wide
GHLALA,SANABEL AGRO,UPL
Gipsy,SANABEL AGRO,ROTAM AGROCHEMICAL
Gipsy,SANABEL AGRO,ROTAM
Gipsy,SANABEL AGRO,AGROCHEMIC AL
Glyster,SANABEL AGRO,SINON CORPORATION
HYDRO 40 WG,SANABEL AGRO,Industrias Quimicas Del Vallés (IQV)
HYDRO 40 WG,SANABEL AGRO,IndustriasQuimicas Del
HYDRO 40 WG,SANABEL AGRO,Vallés (IQV)
ICASSO 240 SC,SANABEL AGRO,Rotam Agrochemical
ICASSO 240 SC,SANABEL AGRO,riv al
JUDOKA GOLD,SANABEL AGRO,ROTAM AGOCHEMICALS
Jackpot,SANABEL AGRO,ROTAM AGROCHEMICALS
Jackpot,SANABEL AGRO,ROTAM AGROCHEMICALS(rival e)
Jackpot,SANABEL AGRO,WORLDWIDE
Jackpot,SANABEL AGRO,SHARDA WORLDWIDE
Jackpot,SANABEL AGRO,GLOBACHEM
KIFEN EC,SANABEL AGRO,SHARDA CROPCHEM limited
KIFEN EC,SANABEL AGRO,SHARDA CROPCHEM
KIFEN EC,SANABEL AGRO,LIMITED INDE
KIPRIDE WG,SANABEL AGRO,AFEPASA S.A
Kuik 400 SP,SANABEL AGRO,ROTAM AGROCHEMICAL
LUXOR,SANABEL AGRO,SHARDA CROPCHEM
LUXOR,SANABEL AGRO,LIMITED INDE
MACOTAPE 80 WP,SANABEL AGRO,INDOFIL
MYCLAS,SANABEL AGRO,SHARDA CROPCHEM Ltd
MYCLAS,SANABEL AGRO,LIMITED INDE
Mandarin,SANABEL AGRO,SINON CORPORATION TAIWAN
Matiz,SANABEL AGRO,ROTAM AGROCHEMICAL
Matiz,SANABEL AGRO,ROTAM AGROCHEMICAL(ri val)
Matiz,SANABEL AGRO,ROTAM
Milor M,SANABEL AGRO,I.Q.V AGRO UNITED PHOSPHORUS NUFARM IQV DEL VALLES
Milor M,SANABEL AGRO,IQV DEL VALLES
Mirage EC,SANABEL AGRO,SHARDA CROPCHEM
Mirage EC,SANABEL AGRO,LIMITED INDE
Morfus 720 SC,SANABEL AGRO,ROTAM AGROCHEMICAL
Morfus 720 SC,SANABEL AGRO,ROTAM AGROCHEMICAL(ri vale)
Morfus 720 SC,SANABEL AGRO,ROTAM
Morfus 720 SC,SANABEL AGRO,AGROCHEMIC
Morfus 720 SC,SANABEL AGRO,AL(rivale)
NUFOSATESL,SANABEL AGRO,NUFARM
OSSETIA WG,SANABEL AGRO,Rotam Agrochemical
OSSETIA WG,SANABEL AGRO,ical
Orage,SANABEL AGRO,SINON CORPORATION
PLANTINEB 80WP,SANABEL AGRO,UPL
PROPICE SC,SANABEL AGRO,SIPCAM INAGRA
PROPICE SC,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE
PROTEZOLE EC,SANABEL AGRO,SHARDA CROPCHEM
PROTEZOLE EC,SANABEL AGRO,LIMITED INDE
PRYSTAR SL,SANABEL AGRO,Sharda cropchem
PRYSTAR SL,SANABEL AGRO,LIMITED INDE
Potenza 1.8,SANABEL AGRO,SINON CORPORATION
Potenza1.8,SANABEL AGRO,SINON CORPORATION
Prodax,SANABEL AGRO,SINON CORPORATION
RETURN 24 SL,SANABEL AGRO,ROTAM
RETURN 24 SL,SANABEL AGRO,AGROCHEMICAL(rivale)
SEGNOR 70 WP,SANABEL AGRO,UPL
SEGNOR70WP,SANABEL AGRO,UPL
SINPRO SC,SANABEL AGRO,SINON CORPORATION
SINSTAR SC,SANABEL AGRO,SINON CORPORATION
SITARA FS,SANABEL AGRO,SHARDA CROPCHEM
SPIDER EXTRA,SANABEL AGRO,SHARDA CROPCHEM
SPIDER EXTRA SC,SANABEL AGRO,SHARDA CROPCHEM
SPIDER EXTRA SC,SANABEL AGRO,LIMITED INDE SHARDA CROPCHEM LIMITED INDE
SYNTAX,SANABEL AGRO,SHARDA
Sharbenta,SANABEL AGRO,SHARDA WORLD WIDE
Sharbenta,SANABEL AGRO,Dow Agrosciences
Sharbenta,SANABEL AGRO,Dow Agrosciences COR TEVA
Stopweeds,SANABEL AGRO,SHARDA
Stopweeds,SANABEL AGRO,SHARDA CROPCHEM
Stopweeds,SANABEL AGRO,LIMITED INDE
TOPOGAN,SANABEL AGRO,SHARDA Cropchem
TOPOGAN,SANABEL AGRO,LIMITED INDE
TRISTAR WG,SANABEL AGRO,Sharda Cropchem
V EROX WDG,SANABEL AGRO,AGROBEATS
V EROX WDG,SANABEL AGRO,TECH CHINE
VEROX WDG,SANABEL AGRO,AGROBEATS
VEROX WDG,SANABEL AGRO,TECH CHINE
VERTIGO,SANABEL AGRO,NUFARM
clementgros,SANABEL AGRO,NUFARM
lotus,SANABEL AGRO,NUFARM
lotus pro,SANABEL AGRO,NUFARM
milor 25 WP,SANABEL AGRO,IQV
HYDRO 40 WG 50,SANABEL AGRO AGRIMED DISTRIBUTION,Vallés (IQV) Shyhamchemical FITOGAL
KIPRIDE WG,SANABEL AGRO SEPCM,AFEPASA S.A
KIPRIDE WG DP,SANABEL AGRO SEPCM,AFEPASA S.A
Cuperval WG,SANABEL AGRO SEPCM SOCOOPEC AGRIPROTEC,I.Q.V. DELVALLES Cerexagri UPL Ltd I.Q.V. DELVALLES MITSUI & Co Ltd kocide LLC cosacoLLC(japon)
Glyster,SANABELAGRO,SINON CORPORATION
Glyster,SANABELAGRO,UNITED PHOSPHORUS
Roxon50,SANABELAGRO,I.Q.V. – Espagne
274EC,SEPCM,CROPSCIENCE
400 SC,SEPCM,BAYER CROPSCIENCE
50WG,SEPCM,SUMITOMO CHEMICAL AGRO Europe
ACTILANDE TM EC,SEPCM,Action PIN
ASKARI 240 SC,SEPCM,AAKO
Acanto plus,SEPCM,DU PONT INTERNATIONAL
Acramite 480 SC,SEPCM,CHEMTURA
Afalon 50 L SC,SEPCM,AAKO BV
Afalon 50 WP,SEPCM,AAKO
Afalon 50 WP,SEPCM,PAYS BAS
Afalon50LSC,SEPCM,AAKO BV
Akodim 120 EC,SEPCM,AAKO
Akofos 480 EC,SEPCM,DOW AGROSCIENCES
Akofos 480 EC,SEPCM,AAKO
Akotan 830 WP,SEPCM,AAKO
Akotan 830 WP,SEPCM,LIMITED INDE
Akotan830WP,SEPCM,AAKO
Aliette express,SEPCM,BAYER CROPSCIENCE
Antilimace granule,SEPCM,"PHOSPHONI A, SL) SIPCAM INAGRA CEQUISA S.A INDUS QUIMICAKEY United Phosphorus"
Antilimace granule,SEPCM,CEQUISA S.A
Aubaine,SEPCM,Dow Agrosciences
Aubaine,SEPCM,AAKO
Avaunt,SEPCM,DU PONT
Avaunt,SEPCM,FMC
BACTOSPEINE DF,SEPCM,VALENT BIOSCIENCE CORPORATION
BACTOSPEINE DF,SEPCM,s umitomo chemical
BACTOSPINE DF,SEPCM,VALENT BIOSCIENCE CORPORATION
BACTOSPINE DF,SEPCM,VALENT BIOSCIENCE CORPORATION sumito mo chemical
BACTOSPINE DF,SEPCM,s umitomo chemical
BELAGIO WG,SEPCM,AAKO
Bactospeine 16000,SEPCM,VALENT BIOSCIENCE CORPORATION
Belem 0.8 MG,SEPCM,SBM FORMULATION CMPA
Berelex,SEPCM,USA
Berelex 40 SG,SEPCM,FRANCE
Berelex 40 SG,SEPCM,CHEMICAL Agro Europe
Bestox,SEPCM,FMC
Betanal Expert,SEPCM,BAYER
Betanal Expert 274EC,SEPCM,BAYER CROPSCIENCE
Bouillie Bordelaise,SEPCM,Cerexagri
Brout,SEPCM,AAKO
CLASSICO WG,SEPCM,Dow Agrosciences
CLASSICO WG,SEPCM,Dow
Closer 240 SC,SEPCM,DOW AGROSCIENCE
Closer 240 SC,SEPCM,c orteva
Closer 240 SC,SEPCM,DOW AGROSCIENCE c orteva
Coragen 20 SC,SEPCM,DU PONT
Coragen 20 SC,SEPCM,FMC
Cuprocuivre,SEPCM,I.Q.V. – Espagne
Curvax M,SEPCM,CMPA
DESORMONE PRO EC,SEPCM,NUFARM
Daphene fort,SEPCM,FMC CHEMINOVA
Daphenefort,SEPCM,CHEMINOVA
Daphenefort,SEPCM,FMC
Desormone lourd,SEPCM,NUFARM
Dithane M 45,SEPCM,DOWAGROSCIENCE MCA
Duracid 5G,SEPCM,Dow Agrscience
Efluzin 400 SC,SEPCM,AGRIPHAR
Efluzin 400 SC,SEPCM,ARYSTA Life Science Benelux Belgique ARYSTA
Efluzin 400 SC,SEPCM,ARYSTA Life Science Benelux
Equation Pro,SEPCM,DU PONT
Equation Pro,SEPCM,DU PONT (Taiwan) AGRISCIENCE
EquationPro,SEPCM,DUPONT(Taiwan)
EquationPro,SEPCM,AGRISCIENCE
EquationPro,SEPCM,DUPONT(Taiwan) AGRISCIENCE
EquationPro,SEPCM,CORTEV A
Etaldyne 95,SEPCM,CMPA
Exuberone,SEPCM,UPL
FIDELITY WG,SEPCM,CORTEVA
FOLY,SEPCM,AAKO
FOLY STAR 400 SC,SEPCM,AAKO
Faudel,SEPCM,AAKO
Floramix,SEPCM,DOW AGROSCIENCE S
Fyfanon50,SEPCM,CHEMINOVA
Granstar,SEPCM,DU PONT
Herbaline,SEPCM,AAKO
Herbolex,SEPCM,DOW AGROSCIENCES
Herbolex Max,SEPCM,DOW AGROSCIENCE
J OKARI 30WG,SEPCM,AAKO
JOKARI 30WG,SEPCM,AAKO
KYLEO,SEPCM,NUFARM
Karathane 350 EC,SEPCM,DOW AGROSCIENCES
Karathane 350 EC,SEPCM,DOW AGROSCIENCES CO RTEVA
Karathane 350 EC,SEPCM,BASF
Karathane 350 EC,SEPCM,SIPCAM INAGRA
Lamardor 400 FS,SEPCM,BAYER CROPSCIENCE
Lancelot NEO 450 WG,SEPCM,DOW AGROSCIENCES
Lancelot NEO 450 WG,SEPCM,DOW AGROSCIENCE S CORTEVA
Lancelot NEO 450 WG,SEPCM,DOW
Lannate 20 L,SEPCM,DU PONT
Lannate 25,SEPCM,DU PONT
Lannate 25,SEPCM,DU PONT (Taiwan) AGRISCIENCE corteva
Leopard 10,SEPCM,AAKO
Luna Experience,SEPCM,BAYER CROPSCIENCE
Luna Experience 400 SC,SEPCM,BAYER CROPSCIENCE
Lysatex,SEPCM,SYNTHRON SAS INDUSTRIAL
MAGISTER,SEPCM,GOWAN Espagne
MICROCROPS WG,SEPCM,AFEPASA S.A
Madison 263 SC,SEPCM,BAYER CROPSCIENCE
Malathion 96,SEPCM,CHEMINOVA
Malathion 96,SEPCM,FMC
Mikal Flash,SEPCM,BAYER CROPSCIENCE
Mocap,SEPCM,AMVAC Chemical Corporation)
Mospilan 20 SL,SEPCM,(NIPPON SODA) ARYSTA LIFESCIENCE JUPL
N imrod,SEPCM,AAKO BV
NOVAZUFRE DP,SEPCM,AFEPASA S.A
Nimrod,SEPCM,AAKO BV
PROLECTUS,SEPCM,SUMITOMO CHEMICAL AGRO Europe
PROLECTUS 50WG,SEPCM,SUMITOMO CHEMICAL AGRO Europe
Pallas 45 OD,SEPCM,DOW AGROSCIENCES
Pallas 45 OD,SEPCM,DOW AGROSCIENCE S corteva
Pallas 45 OD,SEPCM,DOW
Pallas45OD,SEPCM,DOW AGROSCIENCES
Procarpil,SEPCM,CMPA
Procuivre MZ,SEPCM,IQV DEL VALLES
Ridaline,SEPCM,DOW AGROSCIENCES
Ridaline,SEPCM,INDUSTRIAL Q. KEY
Ridaline,SEPCM,DOW
Ridanèbe,SEPCM,CEREXAGRI
Rovral,SEPCM,FMC
SAFARI 50 WG,SEPCM,FMC
SOLFOXIDANTE,SEPCM,AFEPASA
SOLFOXIDANTE 80 DP,SEPCM,Espagne AFEPASA Espagne
Serial 150 EC,SEPCM,AAKO
Siscop 60 SC,SEPCM,AAKO BV
Siscop 60 SC,SEPCM,LIMITED INDE
Soprano,SEPCM,AAKO
Stop germe S,SEPCM,Espagne
Suspray,SEPCM,COMPTOIR
Suspray,SEPCM,COMMERCIAL DES
Suspray,SEPCM,LUBRIFIANTS
Systhane 240 EC,SEPCM,DOW AGROSCIENCES
Systhane 240 EC,SEPCM,corteva
T alendo,SEPCM,DU PONT
Talendo,SEPCM,DU PONT
Tolurex 50,SEPCM,AAKO
Triflurex,SEPCM,AAKO
V ERIMARK SC,SEPCM,FMC
VENZAR,SEPCM,FMC
VERIMARK SC,SEPCM,FMC
Talendo,SEPCM ATLAS AGRICOLE,Corteva DU PONT Corteva
FOLY STAR 400 SC,SEPCM BIOPROTECTION,AAKO
Talendo,SEPCM EL BARAKA,DU PONT
Akodim 120 EC,SEPCM FERTITECH,AAKO TOPAGRO BIOSCIENCE
OXYTANE,SHARDA,SHARDA CROPCHEM
GlufosamSL,SHARDA CROCHEM TUNISIE,sharda cropchem
PROXER,SHARDA CROCHEM TUNISIE,sharda crochem
ACTION 60 SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM
ACTION 60 SC,SHARDA CROPCHEM LIMITED TUNISIA,LIMITED INDE
QUEEN PRO SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM
QUEEN PRO SC,SHARDA CROPCHEM LIMITED TUNISIA,LIMITED INDE
QUEEN SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM
QUEEN SC,SHARDA CROPCHEM LIMITED TUNISIA,LIMITED INDE
CURAX EXTRA SC,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM
CURAX EXTRA SC,SHARDA CROPCHEM LIMITED TUNISIE,LIMITED INDE
MIRACLE WDG,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM
MIRACLE WDG,SHARDA CROPCHEM LIMITED TUNISIE,LIMITED INDE
Perfecto EC,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM
Perfecto EC,SHARDA CROPCHEM LIMITED TUNISIE,LIMITED INDE
SPIRIDOR 240 SC,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM
SPIRIDOR 240 SC,SHARDA CROPCHEM LIMITED TUNISIE,LIMITED INDE
TENAZOLE,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM
TENAZOLE,SHARDA CROPCHEM LIMITED TUNISIE,LIMITED INDE
pyrma SC,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM
pyrma SC,SHARDA CROPCHEM LIMITED TUNISIE,LIMITED INDE
ACTION 60 SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM limited
PRODIGE,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM limited
QUEEN PRO SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM INDE
QUEEN SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM INDE
Virago,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM limited
CURAX EXTRA,SHARDA CROPCHEM TUNISIE,Sharda Cropchem limited
CURAX EXTRA SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
Clotril SC,SHARDA CROPCHEM TUNISIE,Sharda Cropchen
MACCANI,SHARDA CROPCHEM TUNISIE,BASF
MIRACLE WDG,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM LIMITED
Mirage EC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
Perfecto EC,SHARDA CROPCHEM TUNISIE,Sharda Cropchem
SPIRIDOR 240 SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
TENAZOLE,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
pyrma SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
pyrmaSC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
shanon,SHARDA CROPCHEM TUNISIE,sharda cropchem
thiophyl50SC,SHARDA CROPCHEM TUNISIE,sharda cropchem
A LPHATOP EC,SLDA,SHARDA CROPCHEM
A LPHATOP EC,SLDA,INDE
ALPHATOP EC,SLDA,SHARDA CROPCHEM
ALPHATOP EC,SLDA,LIMITED INDE
AZ-TOP,SLDA,Sharda cropchem limited
AZ-TOP SC,SLDA,Sharda cropchem limited
AZ-TOP SC,SLDA,SHARDA CROPCHEM
AZ-TOP SC,SLDA,LIMITED INDE
AZUROS,SLDA,SHARDA CROPCHEM Ltd
AZUROS,SLDA,LIMITED INDE
COTRAN 20-30,SLDA,TRAGUSSA
GLYFOSTAR,SLDA,SHARDA CROPCHEM Ltd
MAYA,SLDA,UPL
ORACLE 33 WG W DG,SLDA,SHARDA CROPCHEM LIMITED
ORACLE 33 WG WDG,SLDA,SHARDA CROPCHEM LIMITED
ORACLE 33 WG WDG,SLDA,SHARDA CROPCHEM
ORACLE 33 WG WDG,SLDA,LIMITED INDE
THIAMEX 25 WG,SLDA,United Phosphorus Ltd
clopryd 30 SL,SLDA,Sharda cropchem
clopryd 30 SL,SLDA,LIMITED INDE
GLYFOSTAR,SLDA MULTAGRI,GLOBACHEM Braclay chemicals
Ortiva TOP,SLOGRI,SYNGENTA
Rexame,SOCCOPEC,SHARDA
AGREZATE PLUS WP,SOCOOPEC,AGRIA
ARMETIL,SOCOOPEC,IQV
ARMETIL COMBI,SOCOOPEC,IQV
Agrezate 80 WP,SOCOOPEC,MCA UPL Phosphorus ARYSTA LIFESCIENCE INDUST. QUIMICA KEY AGRIA SA AGRIA SA CEREXAGRI BV SIPCAM INAGRA SIPCAM INAGRA INDOFIL INDE DOW AGROSCIENCES COROMANDEL Ltd. United Phosphorus Ltd ZENITH CROPSCIENCES
Agrezate 80 WP,SOCOOPEC,ZENITH CROPSCIENCES agri a
Armetil M,SOCOOPEC,I.Q.V AGRO UNITED PHOSPHORUS NUFARM IQV DEL VALLES
Armetil M,SOCOOPEC,IQV DEL VALLES
Armetil cuivre,SOCOOPEC,IQV DEL VALLES
Bordo valles WG,SOCOOPEC,I.Q.V. DELVALLES
CHAMPION,SOCOOPEC,SHARDA CROPCHEM
CHAMPION,SOCOOPEC,SYNGENTA
COMBI,SOCOOPEC,IQV
COSAMIL-DF,SOCOOPEC,Sulphur Mills Limited
Corida 75 WG,SOCOOPEC,ZENITH CROPSCIENCE
Corida 75 WG,SOCOOPEC,AGRIA
Cureman,SOCOOPEC,IQV DEL VALLES
Curenox,SOCOOPEC,I.Q.V. – Espagne
DAMEX FORTE,SOCOOPEC,NUFARM
DAMEX FORTE SUPER,SOCOOPEC,NUFARM
DAYZER,SOCOOPEC,SHARDA
DAYZER,SOCOOPEC,DOW AGROSCIENCES corteva
ESCARGOCHE,SOCOOPEC,SHARDA
Glyphogan,SOCOOPEC,AAKO
Hidrocobre50,SOCOOPEC,IQV DEL VALLES
Hidrocobre50valles,SOCOOPEC,IQV DEL VALLES
King 250 EW,SOCOOPEC,SHARDA
MITANE,SOCOOPEC,SHARDA
MITANE,SOCOOPEC,SHARDA CROPCHEM LIMITED INDE
Nasa 36 SL,SOCOOPEC,Espagne INDE INDE BULGARIE
Nasa36SL,SOCOOPEC,ZENITH CROPSCIENCES agri a
Nasa36SL,SOCOOPEC,UNITED PHOSPHORUS
Nasa36SL,SOCOOPEC,SINON CORPORATION
Oxistar 24%,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL CO LTD
Oxistar 24%,SOCOOPEC,ZHEJIANG E-TONG CHEMICALCO LTD shandong qiaochang modern agriculture
Oxistar 24%,SOCOOPEC,umittimo
Oxistar 24%,SOCOOPEC,BELCHIM CROP PROTECTION CE RITIS BELCHIM NV
PetrOil,SOCOOPEC,PETRONAS LUBRICANTS
PetrOil,SOCOOPEC,PETRONAS
PetrOil,SOCOOPEC,LUBRICANTS
Polysect,SOCOOPEC,SHARDA
Polysect,SOCOOPEC,SHARDA CROPCHEM
Polysect,SOCOOPEC,LIMITED INDE
SHARCARB,SOCOOPEC,SHARDA
SORBISTAR,SOCOOPEC,AGROW
SORBISTAR,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL
SUPER,SOCOOPEC,NUFARM
Sergent,SOCOOPEC,SHARDA WORLDWIDE
Sergent,SOCOOPEC,TAGROS CHEMICALS
Starphos,SOCOOPEC,SHARDA
Tallis 240 EC,SOCOOPEC,AAKO
TopPlus,SOCOOPEC,AGRIA S.A
de Changement de D C,SOCOOPEC,"PHOSPHONIA, SL)"
valles,SOCOOPEC,IQV DEL VALLES
Armetil cuivre,SOCOOPEC NEGANOR,IQV DEL VALLES
115 FS,SOLAGRI,SYNGENTA
250 SC,SOLAGRI,SYNGENTA Crop Protection
ADAGE 350FS,SOLAGRI,SYNGENTA
BAGIERA EC,SOLAGRI,SYNGENTA
BLUE SHIELD 25 WG,SOLAGRI,Albaugh.LLC
CASPER 55,SOLAGRI,Syngenta Agro AG
CASPER 55 WG,SOLAGRI,Syngenta
CLEANSPRAY SL,SOLAGRI,SHANDONG
CLEANSPRAY SL,SOLAGRI,WEIFANG
CLEANSPRAY SL,SOLAGRI,RAINBOW CHEMICAL CO.LTD CHINE
CLODIM FORTE 240 EC,SOLAGRI,SYNGENTA
"Cherokee 487,5 SE",SOLAGRI,SYNGENTA
DIVIDEND,SOLAGRI,SYNGENTA
DIVIDEND EXTREME,SOLAGRI,SYNGENTA
DOWNMID SC,SOLAGRI,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
DURIVO,SOLAGRI,SYNGENTA
DYNALI DC,SOLAGRI,SYNGENTA
ELATUS Arc,SOLAGRI,SYNGENTA AGRO AG
ELATUSTM Arc SE,SOLAGRI,SYNGENTA AGRO AG
