Produit_Commercial,Société,Fabricant
D e l t a Decis EC 25 Deltacal Fruithrine,STEC EL MOUSSEM AGRICOLE BIOPROTECTION PROTAGRI,BAYER CROPSCIENCE BAYER CROPSCIENCE ARYSTA LIFESCIENCE United Phosphorus Ltd
Super meta Gastrotox Antilimace granule Metakey Metapro,STEC INNOVA SEPCM ETS.MEZGHANI PROTAGRI,"CEQUISA/PHOSPHONI A, SL) SIPCAM INAGRA CEQUISA S.A INDUS QUIMICAKEY United Phosphorus"
ADEXAR XTRA,STIMA,BASF
ADEXAR XTRA EC,STIMA,BASF
Alverde 240 SC,STIMA,BASF
Aviso DF,STIMA,BASF
B a s a g r a n,STIMA,BASF
BAUXIT,STIMA,BASF
BOTECTOR WG,STIMA,BIOFERM/SAN
BOTECTOR WG,STIMA,BIOFERM/SAN AGROW
BOTECTOR WG,STIMA,BIOFERM/SAN AGROW/autriche
Blossom protect,STIMA,BIO FERM
Blossom protect,STIMA,nan
C a n t u s WG,STIMA,BASF
C antus WG,STIMA,BASF
CABRIO TOP,STIMA,BASF
Cantus WG,STIMA,BASF
Capalo,STIMA,BASF
Collis 300SC,STIMA,BASF
D a r t,STIMA,BASF
Deguech plate,STIMA,DETIA DEGUECH
Detia Gas,STIMA,DETIA DEGUECH
Focus Ultra,STIMA,BASF
JUDO,STIMA,Sharda
Kinto Duo,STIMA,BASF
Kumulus DF,STIMA,BASF
MATRIX WDG,STIMA,SHARDA CROPCHEM
MATRIX WDG,STIMA,SHARDA
MATRIX WDG,STIMA,nan
NEM guard SC,STIMA,Ecospray limited
NEM guard SC,STIMA,Ecospraylimited
Ogam,STIMA,BASF-ESPAGNOLA
Ogam,STIMA,BASF
Opus,STIMA,BASF
PHERONORM-TUTA,STIMA,ANDERMATT BIOCONTROL AG
Piretro Verde,STIMA,COPYR S.p.A
Polyram DF,STIMA,BASF
RAMCU 35 WG,STIMA,Manica S.P.A
REMEDIER WP,STIMA,ISAGRO SPA
REMEDIER WP,STIMA,ISAGRO SPA/GOWAN
Raticide detia,STIMA,DETIA
Rex Duo,STIMA,BASF
S t o m p A q u a,STIMA,BASF
SCATTO EC,STIMA,ISAGRO SPA
SCATTO EC,STIMA,ISAGRO SPA/GOWAN
SCATTO EC,STIMA,nan
SNOOKER SC,STIMA,BASF
Stomp Aqua,STIMA,BASF
Stroby DF,STIMA,BASF
Swing Gold,STIMA,BASF
T34 BIOCONTROL,STIMA,"BiocontrolTechnologies,S. L/"
VENUS WG,STIMA,"Shengnong Pesticide,"
VENUS WG,STIMA,"Shengnong Pesticide, Co. Ltd/hangzhou Topagro Bioscience"
VENUS WG,STIMA,"Shengnong Pesticide, Co. Ltd/hangzhouTopagro Bioscience"
Kumulus DF Thiovit Thiolux jet Agrosoufre Soufrustulln Microsol Microthiol Special Insuf Sulpex TIOSOL 80,STIMA AGRIPROTEC AGRIPROTEC AGROSYSTEMES AMINCO INNOVA STEC PROTAGRI AGRIMATCO ATLAS AGRICOLE,BASF SYNGENTA SYNGENTA Agrostulln GmbH Agrostulln GmbH SIPCAM QUIMAGRO UPL/CEREXAGRI UNITED PHOSPHORUS Agrostulln GmbH SIPCAM
Deguech plate Magnaphos,STIMA PROTAGRI,DETIA DEGUECH UNITED PHOSPHORUS LTD
Detia Gas Quickphos,STIMA PROTAGRI,DETIA DEGUECH UNITED PHOSPHORUS LTD
Opus Soprano Scooby doo Spike,STIMA SEPCM AMINCO AGROSYSTEMES,BASF AAKO GLOBACHEM GLOBACHEM
RETURN 24 SL,Sanabel Agro,ROTAM AGROCHEMICAL(rivale)
VERTIGO,Sanabel agro,NUFARM
CURAX EXTRA,Sharda Cropchem Tunisie,Sharda Cropchem limited
OXYTANE,Sharda CropchemTunisia,SHARDA CROPCHEM INDE
SPIROFEN,Ste ELKHADRA,EASTCHEM CO.Ltd
T AKITOP WG,Sté EL KHADRA,"EASTCHEM CO,Ltd CHINE"
TAKITOP WG,Sté EL KHADRA,"EASTCHEM CO,Ltd CHINE"
INDO SUPER SC,Sté ELKHADRA,NINGBO SUNJOY
INDO SUPER SC,Sté ELKHADRA,nan
INDO SUPER SC,Sté ELKHADRA,NINGBO SUNJOY AGROSCIENCE CO .LTD/cropidea
E MATOP,Sté El Khadra,HANGZHOU TOPAGRO BIOSCIENCE CHNINE
POLYVALENT S C,Sté El Khadra,"EASTCHEM CO,Ltd CHINE"
POLYVALENT SC,Sté El Khadra,"EASTCHEM CO,Ltd CHINE"
ACTAMID WG,TASMID,"NANJING AGROCHEMICA L Co., Ltd."
ALU-VITE WP,TASMID,LIMIN CHEMICAL
ALU-VITE WP,TASMID,LIMIN CHEMICAL CO.LTD
ASTRO EC,TASMID,ZHEJIANG E-TONG CHEMICAL
CLETHODIM EC Sous reserve de changement de nom,TASMID,PSYCHE M CHEMICALS LIMITED
Divisole,TASMID,ASTRACHEM
Nimbicidine,TASMID,T. STANES & Co.Ltd.
Nimbicidine,TASMID,T. STANES &Co.Ltd.
P H E NATYL,TASMID,MEGHMANI INDUSTRIES
PROPAMIX SL,TASMID,AGRIA
PROPROLE (SC),TASMID,Nanjing
Proact 50 EC,TASMID,ASTRACHEM
SPINOBEST,TASMID,"BAICO BIOTECH CO,LTD/"
T r a n s a c t 1 8 E C,TASMID,ASTRACHEM
Vaulent,TASMID,ASTRACHEM
soufravit,TASMID,AGROSTULLN/
ABAMET EC,UNIAGRO,SHANDONG
CISTHRIN EC,UNIAGRO,nan
CLEVEROLE SC,UNIAGRO,SHANDONG
CLEVEROLE SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
CLOWIT EC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
Cleverole plus SC,UNIAGRO,SHANDONG
Cleverole plus SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
ETHPYRI SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
HoproleXtra,UNIAGRO,Shandong weifang rainbow chemical0
LASTING EC,UNIAGRO,nan
LASTROLE EC,UNIAGRO,nan
LASTROLE EC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
PICOCARB SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Prifenup EC,UNIAGRO,SHANDONG
SPANVIC PLUS SC,UNIAGRO,nan
Spanvic,UNIAGRO,nan
TEAMSPRAY PLUS SE,UNIAGRO,SHANDONG
palazzo,agrimatco,BASF
Broadway,agriprotec,DOW
Broadway,agriprotec,DOW AGROSCIENCE S/CORTEVA
Broadway,agriprotec,DOW AGROSCIENCES/ CORTEVA
c e r t r o l D S E C,agriprotec,A H MARKS /
c e r t r o l D S E C,agriprotec,A H MARKS / NUFARM
ceriazole SC,agriprotec,NUFARM
certrol DS EC,agriprotec,A H MARKS / NUFARM
manoxyde WP,agriprotec,NUFARM
r a c h e t W P,agriprotec,Nufarm
stratos ultra EC,agriprotec,BASF
gesagard 500 FW,bioprotection,syngenta crop
gesagard 500 FW,bioprotection,syngenta crop protection
gesagard 500 FW,bioprotection,syngentacrop protection
VELAR 20 SC,cotugrain,OAT
VELAR 20 SC,cotugrain,OAT agrio(fab)/Japo(LI DA PLANT RESEARCH/Four nisseur)
f i g h t e r,cotugrain,BASF
hexagon SC,cotugrain,BASF
prowl aqua EC,cotugrain,BASF
lalione EC,delta agicole plus,SHARDA WORLDWIDE
VALEO 25 EC,delta agricole plus,Sharda cropchem
lalione EC,deltaagicole plus,SHARDA WORLDWIDE
TAZER XPERT SC,el moussem,NUFARM
c l a v e W P,ets mezghani,industrial quimica key
keynyl herbicide EC,ets mezghani,industrial quimicakey
keynyl herbicide EC,ets mezghani,nan
syterna EC,ets mezghani,fengdeng
touta stop WP,ets mezghani,industrial quimica key
keynyl herbicide EC,etsmezghani,industrialquimicak
touta stop WP,etsmezghani,nan
power WDG,fertitech,Sharda
%(p/p)),nan,nan
(Ecosurf EH-9,nan,nan
/,nan,nan
08WDG,nan,nan
100,nan,nan
240 EC,nan,nan
274EC,nan,CROPSCIENCE
80,nan,nan
Aurige 70,nan,nan
Boxer,nan,SYNGENTA
Broditop,nan,ZAPI SPA
Broditop wax block,nan,ZAPI SPA
CAROB MOTH,nan,TECHNOLOGIES
CS,nan,PROTECTION
Combi WG,nan,nan
DOUBLE WP,nan,nan
EC,nan,CROPCHEM
EXTREME 115 FS,nan,nan
FS,nan,nan
Flurostar 200,nan,GLOBACHEM
KEY,nan,nan
Klérat,nan,SYNGENTA
Lagrophanate 70,nan,nan
M72 WP,nan,nan
MANICA,nan,nan
PB,nan,nan
PLUS SC,nan,nan
PLUS WP,nan,(EUROPE)/BIOG ARD
Priori Opti,nan,nan
Prolatop,nan,nan
R o u n d u p P lu s,nan,nan
Radikal SC,nan,SHARDA
Raticide detia,nan,DETIA
Round up innov,nan,MONSANTO
Roxy,nan,GLOBACHEM
Réhomologation sous,nan,nan
SC,nan,Protection
SC,nan,CROPCHEM
SC,nan,CROPSCIENCE
SC,nan,nan
SE,nan,nan
SL,nan,nan
SL,nan,ZHONGSHAN
SOREXA PELLETS,nan,BASF
SUPER,nan,nan
Surfactant 73,nan,nan
T,nan,nan
TOPIK 80,nan,nan
Trianum –P,nan,KOPPERT
Tutaabsoluta,nan,nan
ULTRA280 SC,nan,Protection
UPTAKE SL,nan,nan
Ventilé),nan,d’ENGRAIS
W G,nan,nan
WDG,nan,nan
WDG,nan,CROPCHEM
WG,nan,nan
WG,nan,AGROSCIENCES
WG,nan,industry
WP,nan,nan
absoluta,nan,nan
bouteilles ou/et en,nan,nan
de DC,nan,nan
de changement de,nan,nan
dépôt du dossier,nan,nan
d’homologation est bien,nan,nan
fabricant mentionné lors du,nan,nan
ible,nan,nan
nan,nan,nan
nan,nan,CORPORATION/sumito
nan,nan,mo chemical
nan,nan,(phy)/Sud
nan,nan,BIOCONTROL
nan,nan,KEY
nan,nan,PROTECTION
nan,nan,AGOCHEMICALS
nan,nan,LTD
nan,nan,CBC (EUROPE)
nan,nan,SYSTEM
nan,nan,LIFESCIENCES
nan,nan,AGROW
nan,nan,CHEMICALCO
nan,nan,AGROCHEMICAL
nan,nan,TOPAGRO
nan,nan,AGROCHEMICALS/r
nan,nan,limited
nan,nan,AGROSCIENCES
nan,nan,AAKO
nan,nan,inc/syngenta
nan,nan,AG
nan,nan,AGROCHEMICALS
nan,nan,Del Vallés (IQV)
nan,nan,CROPCHEM
nan,nan,INTERNATIONAL
nan,nan,FENGDENG CROP
nan,nan,INTERNATIONAL/co
nan,nan,CROPSCIENCE
nan,nan,LIFESCIENCE/ UPL
nan,nan,BIOLOGICAL
nan,nan,AFRASA
nan,nan,CROPSCIENCE/ Gowan
nan,nan,CROPROTECTION
nan,nan,Innovation/
nan,nan,ELEPHANT VERT
nan,nan,EUROPE SA
nan,nan,o.Ltd
nan,nan,QUIMICA KEY S.A
nan,nan,FENGSHAN GROUP
nan,nan,CROPSCIENCES
nan,nan,BIOSCIENCE
nan,nan,AGROSCIENCES/cort
nan,nan,AFRASA SA
nan,nan,S.A
nan,nan,MILLENIUM
nan,nan,PRODESING/
nan,nan,QUIMICA KEY
nan,nan,Innovation/ ELEPHANT
nan,nan,VERT EUROPE SA
nan,nan,"Agrochemical Co.,"
nan,nan,GIE/AMERIQUE
nan,nan,WEIFANG
nom)peyron MZ,nan,nan
pied (arbre),nan,nan
pièges jaunes),nan,nan
préciser la dose par,nan,nan
réserve de bien,nan,TECHNOLOGIES
réserve de changement,nan,CORPORATION
réserve de montrer que le,nan,nan
« TAMINCO »,nan,nan
C u p r e n e,p r o m o c h i m i e,SIPCAM
C u p r e n e,p r o m o c h i m i e,SIPCAM QUIMAGRO
CIFOXIL WP,promochimie,SIPCAM INAGRA
Derby,promochimie,DOW
Derby,promochimie,DOW AGROSCIENCE S/corteva
Derby,promochimie,nan
FENGIB MAX EC,promochimie,SIPCAM INAGRA
FENGIB MAX EC,promochimie,SIPCAM INAGRA S.A
FENGIB MAX EC,promochimie,nan
Galben M,promochimie,FMC
Gallant Super,promochimie,DOW
Goal,promochimie,HANGZHOU
Goal,promochimie,HANGZHOU NUTRICHEM/s
Goal,promochimie,nan
Microsol,promochimie,SIPCAM
Microsol,promochimie,SIPCAM QUIMAGRO
POINTER100 CS,promochimie,SIPCAM INAGRA
Terbuzine 75 WG,promochimie,SIPCAM INAGRA
M A S T OR WG,rayen phytagri,BASF
MASTOR WG,rayen phytagri,BASF
MASTOR WG,rayenphytagri,BASF
G l u f o s a m S L,sharda crochem,sharda cropchem
PROXER,sharda crochem,sharda crochem
PROXER,sharda crochem tunisie,sharda crochem
soufravit,tasmid,AGROSTULLN/
